"","Model_Accuracy","Model_Sensitivity","Model_Specificity","Model_Balance","Auc","Model_Type","Input_Data"
"1",0.284697934415449,0.981659024593581,0.272969800697698,0.62731441264564,0.919968758292318,"Elastic Net","Smote Data"
"2",0.305089344637367,0.980130609976379,0.293730067431703,0.636930338704041,0.919968758292318,"Elastic Net","Smote Data"
"3",0.305169824943836,0.979852716409615,0.293816578285308,0.636834647347462,0.919968758292318,"Elastic Net","Smote Data"
"4",0.265516028227893,0.984160066694456,0.253423024045341,0.618791545369899,0.919968758292318,"Elastic Net","Smote Data"
"5",0.284543872114494,0.981659024593581,0.272813145908738,0.627236085251159,0.919968758292318,"Elastic Net","Smote Data"
"6",0.264867586901485,0.984021119911074,0.252766009184179,0.618393564547627,0.919968758292318,"Elastic Net","Smote Data"
"7",0.284116176771544,0.982075864943727,0.272371239115999,0.627223552029863,0.919968758292318,"Elastic Net","Smote Data"
"8",0.23007480069627,0.987911629845769,0.217322278649121,0.602616954247445,0.919968758292318,"Elastic Net","Smote Data"
"9",0.24525798537098,0.986939002362095,0.232777325739083,0.609858164050589,0.919968758292318,"Elastic Net","Smote Data"
"10",0.262991246042094,0.98513269417813,0.250839389093086,0.617986041635608,0.919968758292318,"Elastic Net","Smote Data"
"11",0.243834633665142,0.987216895928859,0.231325346277228,0.609271121103043,0.919968758292318,"Elastic Net","Smote Data"
"12",0.243156299653475,0.987077949145477,0.230637935710745,0.608857942428111,0.919968758292318,"Elastic Net","Smote Data"
"13",0.261195385489171,0.98582742809504,0.249001617986776,0.617414523040908,0.919968758292318,"Elastic Net","Smote Data"
"14",0.260533147538797,0.98582742809504,0.248328236207364,0.617077832151202,0.919968758292318,"Elastic Net","Smote Data"
"15",0.259870909588424,0.985688481311658,0.247657192559131,0.616672836935395,0.919968758292318,"Elastic Net","Smote Data"
"16",0.259029315526491,0.98582742809504,0.246799098416618,0.616313263255829,0.919968758292318,"Elastic Net","Smote Data"
"17",0.238874747349324,0.987911629845769,0.226270306669285,0.607090968257527,0.919968758292318,"Elastic Net","Smote Data"
"18",0.237794011805311,0.987911629845769,0.225171385015385,0.606541507430577,0.919968758292318,"Elastic Net","Smote Data"
"19",0.236779959943802,0.987911629845769,0.224140269165661,0.606025949505715,0.919968758292318,"Elastic Net","Smote Data"
"20",0.21885584597449,0.989440044462971,0.205888817186199,0.597664430824585,0.919968758292318,"Elastic Net","Smote Data"
"21",0.204077362269453,0.990551618730026,0.190842943052477,0.590697280891252,0.919968758292318,"Elastic Net","Smote Data"
"22",0.284697934415449,0.981659024593581,0.272969800697698,0.62731441264564,0.920016791342736,"Elastic Net","Undersampled Data"
"23",0.28490488377494,0.981520077810199,0.273182570634943,0.627351324222571,0.920016791342736,"Elastic Net","Undersampled Data"
"24",0.305169824943836,0.979852716409615,0.293816578285308,0.636834647347462,0.920016791342736,"Elastic Net","Undersampled Data"
"25",0.305374474866,0.979991663192997,0.294022333829017,0.637006998511007,0.920016791342736,"Elastic Net","Undersampled Data"
"26",0.265173412066067,0.984299013477838,0.253072304368564,0.618685658923201,0.920016791342736,"Elastic Net","Undersampled Data"
"27",0.284350719378968,0.981797971376963,0.272614404758565,0.627206188067764,0.920016791342736,"Elastic Net","Undersampled Data"
"28",0.284116176771544,0.982075864943727,0.272371239115999,0.627223552029863,0.920016791342736,"Elastic Net","Undersampled Data"
"29",0.264009896778258,0.984576907044602,0.25188453372988,0.618230720387241,0.920016791342736,"Elastic Net","Undersampled Data"
"30",0.229442455431156,0.988189523412533,0.216674616312674,0.602432069862603,0.920016791342736,"Elastic Net","Undersampled Data"
"31",0.283373458514701,0.982631652077254,0.271606670220626,0.62711916114894,0.920016791342736,"Elastic Net","Undersampled Data"
"32",0.262363499651635,0.985271640961512,0.250198741150173,0.617735191055843,0.920016791342736,"Elastic Net","Undersampled Data"
"33",0.261804736381008,0.985410587744894,0.249628237142617,0.617519412443755,0.920016791342736,"Elastic Net","Undersampled Data"
"34",0.2821524572937,0.982770598860636,0.270362784433658,0.626566691647147,0.920016791342736,"Elastic Net","Undersampled Data"
"35",0.260533147538797,0.98582742809504,0.248328236207364,0.617077832151202,0.920016791342736,"Elastic Net","Undersampled Data"
"36",0.240654511840953,0.987355842712241,0.228089372726167,0.607722607719204,0.920016791342736,"Elastic Net","Undersampled Data"
"37",0.259029315526491,0.98582742809504,0.246799098416618,0.616313263255829,0.920016791342736,"Elastic Net","Undersampled Data"
"38",0.222183131787652,0.989023204112825,0.209279107395041,0.599151155753933,0.920016791342736,"Elastic Net","Undersampled Data"
"39",0.221185175987436,0.989162150896207,0.208262020332389,0.598712085614298,0.920016791342736,"Elastic Net","Undersampled Data"
"40",0.236779959943802,0.987911629845769,0.224140269165661,0.606025949505715,0.920016791342736,"Elastic Net","Undersampled Data"
"41",0.21885584597449,0.989440044462971,0.205888817186199,0.597664430824585,0.920016791342736,"Elastic Net","Undersampled Data"
"42",0.234682873100952,0.987911629845769,0.222007893530859,0.604959761688314,0.920016791342736,"Elastic Net","Undersampled Data"
"43",0.955492091085311,0.786994581075448,0.958327488005387,0.872661034540418,0.935945516779893,"XGBoost No Tuning","Smote Data"
"44",0.957494900997726,0.788800889259414,0.96033360455655,0.874567246907982,0.937922578712665,"XGBoost Tuned","Smote Data"
"45",0.948593779102254,0.795331388078366,0.951172806599141,0.873252097338754,0.936248195121692,"XGBoost No Tuning","Undersampled Data"
"46",0.944542170530871,0.800750312630263,0.946961832346642,0.873856072488452,0.938083250428373,"XGBoost Tuned","Undersampled Data"
